Lkiet Property Valuation & Management ,http://www.lkietproperty.com
ModernETH ,http://moderneth.com
ITCORNER TRADING PLC ,http://WWW.ITCORNERTRADING.COM
Flamingo Advertising ,http://flamingoadvert.com
DMT Business and Logistics PLC ,http://www.dmtbusiness.com
KARAMA Charity Foundation Popular ,http://www.karaama.org
Lewis Retails (Bambis) Popular ,http://www.lewisretails.com
Dejen G/Meskel Import and Export ,http://dejenexport.com
AppTech IT Solutions PLC ,http://apptechaddis.com
HEK TRADING PLC ,http://www.hektrading.com
Mindong Electric Equipment Manufacturing PLC ,http://www.gdmddj.com
KFAM Trading PLC ,http://www.kfamtradingplc.com
CWW Manufacturing PLC (Pak Therm Pipes) Popular ,http://www.pakpipe.com
Hake Trade & Industry Enterprise ,http://www.hakesport.com
Joyce Baltena | ጆይስ ባልትና ,http://www.joycebaltena.com
DES General Trading PLC ,http://www.desethiopia.com
S.SARA COFFEE EXPORTER ENTERPRISE ,http://www.saracoffee.com
DH Geda Trade and Industry PLC ,http://www.dhgeda.com/
DES General Trading PLC ,http://www.desethiopia.com
ETHIO AGRI-CEFT ,http://www.ethioagriceft.com
ROC Spaces ,http://www.rocspaces.com
Fountain International Trading ,http://www.fountainin.com
Honest Trade Enterprise PLC ,http://honestplc.com
"Eserve Consultancy for Business, Investment and Conveya... ",http://ethioservices.net
Solomon Zewdu Shipping and Freight Forwarding Agent ,http://www.solomontransit.com
Fountain International Trading ,http://www.fountainin.com
Abdosh International Trading Company PLC (AITC PLC) ,http://www.abdosh.com
Honest Trade Enterprise PLC ,http://honestplc.com
MESROY INTERNATIONAL PLC ,http://www.mesroy.com
